x,y,text,x2,y2,celltype
1,1,1,1,1,
-11,3.5,2,-11,4.2,Muscle
8,-4.5,3,8,-4.5,
1,6.5,4,1,6.5,
6.5,-1.5,5,6.5,-1.5,
-1.5,14.5,6,-1.5,15.25,Coelomocytes
2,-4.75,7,2,-4.75,
8,4,8,8,4,
4.75,3.75,9,4.75,3,Mesoderm
3,2,10,3,2,
-4.75,-1.5,11,-5.85,-1.5,Neuron
-0.5,-3,12,-0.5,-3.5,Neuron
-1,-7.5,13,-1,-8.5,Neuron
-5.75,-12,14,-7.8,-12,Canal-associated
-4.5,5,15,-5.8,5,Secretory
6,1,16,6,1,
6,6,17,7.5,6,Mesoderm
-4.5,-3,18,-5.5,-3,Neuron
-10,-1.25,19,-10,-2,Muscle
-2,-0.5,20,-2,-0.5,
-4.75,1,21,-4.75,1,
9.5,-7.5,22,9.5,-6.5,Inner Body
-3.5,-7.25,23,-3.5,-8.25,Neuron
-8.5,-8,24,-8.5,-9,Neuron
-6,-5.5,25,-6,-6.5,Neuron
-2,-4.8,26,-2,-5.8,Neuron
2.15,-8.5,27,2.15,-9.5,Neuron
